track_id,track_name,artist,genre,danceability,energy,loudness,tempo,valence,duration_ms,popularity,streams,country,subscription_plan,payment_method,revenue_usd
1,Song_1,Artist_103,Rock,0.606,0.551,-16.09,152.19,0.4,296893,16,581234,Japan,Free,Credit Card,0.0
2,Song_2,Artist_180,Rock,0.298,0.828,-22.73,76.23,0.747,146185,51,1978207,Canada,Premium,Debit Card,6.4
3,Song_3,Artist_93,Electronic,0.775,0.326,-13.27,114.23,0.166,141402,29,436799,Brazil,Free,PayPal,0.0
4,Song_4,Artist_15,Jazz,0.899,0.428,-22.85,147.51,0.443,214860,78,270740,Brazil,Free,Credit Card,0.0
5,Song_5,Artist_107,Pop,0.91,0.73,-7.61,100.72,0.679,280648,71,1854476,Australia,Premium,Apple Pay,10.15
6,Song_6,Artist_72,Electronic,0.477,0.446,-12.53,69.14,0.416,143134,41,1305982,USA,Premium,Apple Pay,7.62
7,Song_7,Artist_189,Country,0.302,0.818,-9.07,71.46,0.103,300311,57,806287,UK,Premium,Credit Card,6.32
8,Song_8,Artist_21,Indie,0.589,0.302,-15.79,77.64,0.685,150505,28,218770,USA,Free,Debit Card,0.0
9,Song_9,Artist_103,Latin,0.284,0.795,-16.61,177.02,0.503,235250,77,1080043,Japan,Free,Google Pay,0.0
10,Song_10,Artist_122,R&B,0.9,0.253,-22.84,152.1,0.06,121268,80,478521,France,Free,PayPal,0.0
11,Song_11,Artist_75,Jazz,0.338,0.21,-13.48,69.03,0.601,191097,21,1713093,Spain,Free,Google Pay,0.0
12,Song_12,Artist_88,Indie,0.39,0.901,-13.68,114.75,0.878,315696,4,1681654,France,Premium,PayPal,8.96
13,Song_13,Artist_117,Electronic,0.505,0.653,-14.7,99.0,0.15,175197,99,635852,Spain,Free,Google Pay,0.0
14,Song_14,Artist_100,Country,0.487,0.474,-8.71,140.93,0.582,262343,15,1705854,Germany,Premium,Google Pay,8.05
15,Song_15,Artist_104,R&B,0.796,0.381,-6.68,133.19,0.706,222958,53,1578611,France,Premium,PayPal,7.74
